Relative Day,Type ID,PN ID,Inspector ID,Cycle,Result,Inspector Bin
3,Type 05 MW,PN006,Inspector 07,5,0,Group 2
5,Type 05 MW,PN005,Inspector 10,3,0,Group 2
6,Type 05 MW,PN005,Inspector 08,6,0,Group 2
12,Type 05 MW,PN005,Inspector 08,3,0,Group 2
16,Type 05 MW,PN009,Inspector 05,5,0,Group 1
19,Type 05 MW,PN005,Inspector 02,4,0,Group 1
25,Type 05 MW,PN008,Inspector 06,7,0,Group 2
28,Type 05 MW,PN005,Inspector 05,6,0,Group 1
30,Type 05 MW,PN007,Inspector 03,3,0,Group 1
44,Type 05 MW,PN005,Inspector 05,7,0,Group 1
51,Type 05 MW,PN006,Inspector 02,6,0,Group 1
54,Type 05 MW,PN005,Inspector 10,5,0,Group 2
58,Type 05 MW,PN005,Inspector 06,4,0,Group 2
67,Type 05 MW,PN006,Inspector 05,6,0,Group 1
75,Type 05 MW,PN007,Inspector 09,4,1,Group 2
78,Type 05 MW,PN008,Inspector 05,1,0,Group 1
81,Type 05 MW,PN005,Inspector 10,4,0,Group 2
88,Type 05 MW,PN007,Inspector 10,6,0,Group 2
89,Type 05 MW,PN007,Inspector 07,3,0,Group 2
90,Type 05 MW,PN007,Inspector 05,1,0,Group 1
93,Type 05 MW,PN006,Inspector 05,1,0,Group 1
94,Type 05 MW,PN005,Inspector 01,3,0,Group 1
103,Type 05 MW,PN009,Inspector 02,6,0,Group 1
107,Type 05 MW,PN007,Inspector 05,2,0,Group 1
111,Type 05 MW,PN008,Inspector 07,2,0,Group 2
117,Type 05 MW,PN005,Inspector 06,1,0,Group 2
122,Type 05 MW,PN009,Inspector 02,2,0,Group 1
124,Type 05 MW,PN005,Inspector 02,4,0,Group 1
124,Type 05 MW,PN007,Inspector 06,4,0,Group 2
124,Type 05 MW,PN006,Inspector 01,4,0,Group 1
134,Type 05 MW,PN005,Inspector 03,2,0,Group 1
137,Type 05 MW,PN008,Inspector 08,1,0,Group 2
138,Type 05 MW,PN005,Inspector 04,1,0,Group 1
140,Type 05 MW,PN006,Inspector 03,5,1,Group 1
140,Type 05 MW,PN008,Inspector 04,7,0,Group 1
145,Type 05 MW,PN005,Inspector 01,6,0,Group 1
145,Type 05 MW,PN009,Inspector 08,6,0,Group 2
150,Type 05 MW,PN009,Inspector 08,1,0,Group 2
151,Type 05 MW,PN006,Inspector 03,4,0,Group 1
153,Type 05 MW,PN005,Inspector 03,4,0,Group 1
161,Type 05 MW,PN008,Inspector 07,5,0,Group 2
165,Type 05 MW,PN007,Inspector 09,2,1,Group 2
167,Type 05 MW,PN006,Inspector 10,4,0,Group 2
174,Type 05 MW,PN008,Inspector 05,2,0,Group 1
175,Type 05 MW,PN005,Inspector 04,2,0,Group 1
178,Type 05 MW,PN008,Inspector 09,5,0,Group 2
184,Type 05 MW,PN005,Inspector 06,7,0,Group 2
189,Type 05 MW,PN006,Inspector 01,6,0,Group 1
190,Type 05 MW,PN007,Inspector 01,3,1,Group 1
191,Type 05 MW,PN007,Inspector 01,2,1,Group 1
204,Type 05 MW,PN008,Inspector 10,1,0,Group 2
204,Type 05 MW,PN005,Inspector 08,5,0,Group 2
216,Type 05 MW,PN008,Inspector 08,4,0,Group 2
221,Type 05 MW,PN005,Inspector 06,6,0,Group 2
225,Type 05 MW,PN005,Inspector 03,6,0,Group 1
228,Type 05 MW,PN006,Inspector 06,3,0,Group 2
229,Type 05 MW,PN006,Inspector 01,1,0,Group 1
232,Type 05 MW,PN006,Inspector 09,6,1,Group 2
238,Type 05 MW,PN008,Inspector 07,2,1,Group 2
258,Type 05 MW,PN007,Inspector 04,4,0,Group 1
260,Type 05 MW,PN007,Inspector 09,2,0,Group 2
270,Type 05 MW,PN007,Inspector 04,7,0,Group 1
285,Type 05 MW,PN009,Inspector 04,6,0,Group 1
285,Type 05 MW,PN005,Inspector 05,2,0,Group 1
287,Type 05 MW,PN005,Inspector 08,4,0,Group 2
293,Type 05 MW,PN008,Inspector 10,2,0,Group 2
301,Type 05 MW,PN007,Inspector 04,1,1,Group 1
310,Type 05 MW,PN007,Inspector 01,2,0,Group 1
313,Type 05 MW,PN006,Inspector 04,3,0,Group 1
320,Type 05 MW,PN007,Inspector 02,1,0,Group 1
321,Type 05 MW,PN005,Inspector 02,2,0,Group 1
334,Type 05 MW,PN007,Inspector 04,4,0,Group 1
340,Type 05 MW,PN005,Inspector 04,4,0,Group 1
348,Type 05 MW,PN007,Inspector 03,2,1,Group 1
